Motivo del viaje;Gastos y duración media de los viajes;Tipo de dato;Periodo;Total
Total;Gasto total;Dato base;2025;134.743,32
Total;Gasto total;Dato base;2024;126.143,22
Total;Gasto total;Dato base;2023;108.789,41
Total;Gasto total;Dato base;2022;87.138,19
Total;Gasto total;Dato base;2021;34.903,37
Total;Gasto total;Dato base;2020;19.786,78
Total;Gasto total;Dato base;2019;91.911,97
Total;Gasto total;Dato base;2018;89.750,75
Total;Gasto total;Dato base;2017;87.003,93
Total;Gasto total;Dato base;2016;77.415,54
Total;Gasto total;Tasa de variación anual;2025;6,82
Total;Gasto total;Tasa de variación anual;2024;15,95
Total;Gasto total;Tasa de variación anual;2023;24,85
Total;Gasto total;Tasa de variación anual;2022;149,66
Total;Gasto total;Tasa de variación anual;2021;76,40
Total;Gasto total;Tasa de variación anual;2020;-78,47
Total;Gasto total;Tasa de variación anual;2019;2,41
Total;Gasto total;Tasa de variación anual;2018;3,16
Total;Gasto total;Tasa de variación anual;2017;12,39
Total;Gasto total;Tasa de variación anual;2016;9,21
Total;Gasto medio por persona;Dato base;2025;1.392
Total;Gasto medio por persona;Dato base;2024;1.345
Total;Gasto medio por persona;Dato base;2023;1.277
Total;Gasto medio por persona;Dato base;2022;1.216
Total;Gasto medio por persona;Dato base;2021;1.119
Total;Gasto medio por persona;Dato base;2020;1.045
Total;Gasto medio por persona;Dato base;2019;1.101
Total;Gasto medio por persona;Dato base;2018;1.084
Total;Gasto medio por persona;Dato base;2017;1.063
Total;Gasto medio por persona;Dato base;2016;1.028
Total;Gasto medio por persona;Tasa de variación anual;2025;3,46
Total;Gasto medio por persona;Tasa de variación anual;2024;5,33
Total;Gasto medio por persona;Tasa de variación anual;2023;5,04
Total;Gasto medio por persona;Tasa de variación anual;2022;8,63
Total;Gasto medio por persona;Tasa de variación anual;2021;7,11
Total;Gasto medio por persona;Tasa de variación anual;2020;-5,05
Total;Gasto medio por persona;Tasa de variación anual;2019;1,55
Total;Gasto medio por persona;Tasa de variación anual;2018;1,99
Total;Gasto medio por persona;Tasa de variación anual;2017;3,39
Total;Gasto medio por persona;Tasa de variación anual;2016;-1,14
Total;Gasto medio diario por persona;Dato base;2025;195
Total;Gasto medio diario por persona;Dato base;2024;186
Total;Gasto medio diario por persona;Dato base;2023;177
Total;Gasto medio diario por persona;Dato base;2022;162
Total;Gasto medio diario por persona;Dato base;2021;137
Total;Gasto medio diario por persona;Dato base;2020;134
Total;Gasto medio diario por persona;Dato base;2019;155
Total;Gasto medio diario por persona;Dato base;2018;146
Total;Gasto medio diario por persona;Dato base;2017;137
Total;Gasto medio diario por persona;Dato base;2016;130
Total;Gasto medio diario por persona;Tasa de variación anual;2025;4,89
Total;Gasto medio diario por persona;Tasa de variación anual;2024;5,19
Total;Gasto medio diario por persona;Tasa de variación anual;2023;9,15
Total;Gasto medio diario por persona;Tasa de variación anual;2022;17,95
Total;Gasto medio diario por persona;Tasa de variación anual;2021;2,78
Total;Gasto medio diario por persona;Tasa de variación anual;2020;-13,59
Total;Gasto medio diario por persona;Tasa de variación anual;2019;6,32
Total;Gasto medio diario por persona;Tasa de variación anual;2018;6,00
Total;Gasto medio diario por persona;Tasa de variación anual;2017;5,24
Total;Gasto medio diario por persona;Tasa de variación anual;2016;4,08
Total;Duración media de los viajes;Dato base;2025;7,13
Total;Duración media de los viajes;Dato base;2024;7,23
Total;Duración media de los viajes;Dato base;2023;7,22
Total;Duración media de los viajes;Dato base;2022;7,50
Total;Duración media de los viajes;Dato base;2021;8,15
Total;Duración media de los viajes;Dato base;2020;7,82
Total;Duración media de los viajes;Dato base;2019;7,11
Total;Duración media de los viajes;Dato base;2018;7,45
Total;Duración media de los viajes;Dato base;2017;7,74
Total;Duración media de los viajes;Dato base;2016;7,88
Total;Duración media de los viajes;Tasa de variación anual;2025;-1,37
Total;Duración media de los viajes;Tasa de variación anual;2024;0,13
Total;Duración media de los viajes;Tasa de variación anual;2023;-3,76
Total;Duración media de los viajes;Tasa de variación anual;2022;-7,90
Total;Duración media de los viajes;Tasa de variación anual;2021;4,21
Total;Duración media de los viajes;Tasa de variación anual;2020;9,88
Total;Duración media de los viajes;Tasa de variación anual;2019;-4,49
Total;Duración media de los viajes;Tasa de variación anual;2018;-3,78
Total;Duración media de los viajes;Tasa de variación anual;2017;-1,76
Total;Duración media de los viajes;Tasa de variación anual;2016;-5,01
Negocio, motivos profesionales;Gasto total;Dato base;2025;7.201,47
Negocio, motivos profesionales;Gasto total;Dato base;2024;7.109,73
Negocio, motivos profesionales;Gasto total;Dato base;2023;6.452,46
Negocio, motivos profesionales;Gasto total;Dato base;2022;5.468,73
Negocio, motivos profesionales;Gasto total;Dato base;2021;2.234,57
Negocio, motivos profesionales;Gasto total;Dato base;2020;1.396,65
Negocio, motivos profesionales;Gasto total;Dato base;2019;6.042,04
Negocio, motivos profesionales;Gasto total;Dato base;2018;5.447,71
Negocio, motivos profesionales;Gasto total;Dato base;2017;5.451,85
Negocio, motivos profesionales;Gasto total;Dato base;2016;5.322,84
Negocio, motivos profesionales;Gasto total;Tasa de variación anual;2025;1,29
Negocio, motivos profesionales;Gasto total;Tasa de variación anual;2024;10,19
Negocio, motivos profesionales;Gasto total;Tasa de variación anual;2023;17,99
Negocio, motivos profesionales;Gasto total;Tasa de variación anual;2022;144,73
Negocio, motivos profesionales;Gasto total;Tasa de variación anual;2021;60,00
Negocio, motivos profesionales;Gasto total;Tasa de variación anual;2020;-76,88
Negocio, motivos profesionales;Gasto total;Tasa de variación anual;2019;10,91
Negocio, motivos profesionales;Gasto total;Tasa de variación anual;2018;-0,08
Negocio, motivos profesionales;Gasto total;Tasa de variación anual;2017;2,42
Negocio, motivos profesionales;Gasto total;Tasa de variación anual;2016;4,10
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2025;1.442
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2024;1.381
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2023;1.337
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2022;1.240
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2021;1.076
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2020;1.038
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2019;1.117
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2018;1.084
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2017;1.155
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2016;1.137
Negocio, motivos profesionales;Gasto medio por persona;Tasa de variación anual;2025;4,40
Negocio, motivos profesionales;Gasto medio por persona;Tasa de variación anual;2024;3,28
Negocio, motivos profesionales;Gasto medio por persona;Tasa de variación anual;2023;7,84
Negocio, motivos profesionales;Gasto medio por persona;Tasa de variación anual;2022;15,20
Negocio, motivos profesionales;Gasto medio por persona;Tasa de variación anual;2021;3,73
Negocio, motivos profesionales;Gasto medio por persona;Tasa de variación anual;2020;-7,11
Negocio, motivos profesionales;Gasto medio por persona;Tasa de variación anual;2019;3,00
Negocio, motivos profesionales;Gasto medio por persona;Tasa de variación anual;2018;-6,10
Negocio, motivos profesionales;Gasto medio por persona;Tasa de variación anual;2017;1,54
Negocio, motivos profesionales;Gasto medio por persona;Tasa de variación anual;2016;7,49
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2025;256
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2024;241
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2023;216
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2022;203
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2021;171
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2020;184
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2019;218
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2018;209
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2017;192
Negocio, motivos profesionales;Gasto medio diario por persona;Dato base;2016;202
Negocio, motivos profesionales;Gasto medio diario por persona;Tasa de variación anual;2025;6,23
Negocio, motivos profesionales;Gasto medio diario por persona;Tasa de variación anual;2024;11,38
Negocio, motivos profesionales;Gasto medio diario por persona;Tasa de variación anual;2023;6,43
Negocio, motivos profesionales;Gasto medio diario por persona;Tasa de variación anual;2022;19,09
Negocio, motivos profesionales;Gasto medio diario por persona;Tasa de variación anual;2021;-7,00
Negocio, motivos profesionales;Gasto medio diario por persona;Tasa de variación anual;2020;-15,77
Negocio, motivos profesionales;Gasto medio diario por persona;Tasa de variación anual;2019;4,42
Negocio, motivos profesionales;Gasto medio diario por persona;Tasa de variación anual;2018;8,52
Negocio, motivos profesionales;Gasto medio diario por persona;Tasa de variación anual;2017;-4,83
Negocio, motivos profesionales;Gasto medio diario por persona;Tasa de variación anual;2016;13,78
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2025;5,63
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2024;5,73
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2023;6,18
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2022;6,10
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2021;6,30
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2020;5,65
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2019;5,12
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2018;5,20
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2017;6,00
Negocio, motivos profesionales;Duración media de los viajes;Dato base;2016;5,63
Negocio, motivos profesionales;Duración media de los viajes;Tasa de variación anual;2025;-1,72
Negocio, motivos profesionales;Duración media de los viajes;Tasa de variación anual;2024;-7,27
Negocio, motivos profesionales;Duración media de los viajes;Tasa de variación anual;2023;1,33
Negocio, motivos profesionales;Duración media de los viajes;Tasa de variación anual;2022;-3,27
Negocio, motivos profesionales;Duración media de los viajes;Tasa de variación anual;2021;11,54
Negocio, motivos profesionales;Duración media de los viajes;Tasa de variación anual;2020;10,29
Negocio, motivos profesionales;Duración media de los viajes;Tasa de variación anual;2019;-1,36
Negocio, motivos profesionales;Duración media de los viajes;Tasa de variación anual;2018;-13,48
Negocio, motivos profesionales;Duración media de los viajes;Tasa de variación anual;2017;6,69
Negocio, motivos profesionales;Duración media de los viajes;Tasa de variación anual;2016;-5,53
Asistencia a ferias, congresos y convenciones;Gasto total;Dato base;2025;320,68
Asistencia a ferias, congresos y convenciones;Gasto total;Dato base;2024;303,12
Asistencia a ferias, congresos y convenciones;Gasto total;Dato base;2023;325,19
Asistencia a ferias, congresos y convenciones;Gasto total;Dato base;2022;247,14
Asistencia a ferias, congresos y convenciones;Gasto total;Dato base;2021;.
Asistencia a ferias, congresos y convenciones;Gasto total;Dato base;2020;.
Asistencia a ferias, congresos y convenciones;Gasto total;Dato base;2019;316,67
Asistencia a ferias, congresos y convenciones;Gasto total;Dato base;2018;248,91
Asistencia a ferias, congresos y convenciones;Gasto total;Dato base;2017;393,36
Asistencia a ferias, congresos y convenciones;Gasto total;Dato base;2016;581,32
Asistencia a ferias, congresos y convenciones;Gasto total;Tasa de variación anual;2025;5,79
Asistencia a ferias, congresos y convenciones;Gasto total;Tasa de variación anual;2024;-6,78
Asistencia a ferias, congresos y convenciones;Gasto total;Tasa de variación anual;2023;31,58
Asistencia a ferias, congresos y convenciones;Gasto total;Tasa de variación anual;2022;615,22
Asistencia a ferias, congresos y convenciones;Gasto total;Tasa de variación anual;2021;.
Asistencia a ferias, congresos y convenciones;Gasto total;Tasa de variación anual;2020;.
Asistencia a ferias, congresos y convenciones;Gasto total;Tasa de variación anual;2019;27,22
Asistencia a ferias, congresos y convenciones;Gasto total;Tasa de variación anual;2018;-36,72
Asistencia a ferias, congresos y convenciones;Gasto total;Tasa de variación anual;2017;-32,33
Asistencia a ferias, congresos y convenciones;Gasto total;Tasa de variación anual;2016;-25,18
Asistencia a ferias, congresos y convenciones;Gasto medio por persona;Dato base;2025;1.471
Asistencia a ferias, congresos y convenciones;Gasto medio por persona;Dato base;2024;1.410
Asistencia a ferias, congresos y convenciones;Gasto medio por persona;Dato base;2023;1.250
Asistencia a ferias, congresos y convenciones;Gasto medio por persona;Dato base;2022;1.187
Asistencia a ferias, congresos y convenciones;Gasto medio por persona;Dato base;2021;.
